dateTime,duration
1675857416000,4375
1704064830000,6991
1701794728000,5992
1688703078000,13041
1685932694000,5131
1673903044000,14352
1683499640000,8685
1694860540000,1730
1686829604000,6323
1697278116000,9385
1679383290000,9431
1675559509000,2668
1693215924000,5920
1676933243000,2287
1691526085000,14402
1677468880000,10528
1691137578000,14831
1679436837000,3777
1676526489000,5379
1696141932000,3570
1702678766000,8065
1676569138000,1566
1699868849000,3727
1696593945000,13279
1681860728000,9205
1678819583000,13431
1691416649000,8689
1681735850000,4728
1692268220000,12825
1703165577000,1473
1700328779000,14988
1680016235000,13008
1679122424000,5836
1680454258000,1955
1697317026000,10637
1703899025000,5939
1697148990000,14874
1681888204000,6338
1675704629000,6091
1704103805000,2681
1689179261000,6206
1697229247000,9261
1689835644000,14864
1696376910000,9907
1693010266000,12253
1681978338000,14122
1701723490000,12548
1691742180000,5696
1702766749000,7209
1677392114000,9149
1700833049000,12664
1700935000000,3031
1691933571000,3124
1701497096000,4816
1688199518000,2506
1679914190000,10474
1684793400000,8072
1682670356000,6293
1701493629000,8027
1687935707000,6032
1700890491000,8512
1673475138000,7950
1698680973000,5781
1675038213000,8451
1688169997000,3435
1692728346000,9915
1675070653000,14393
1676595063000,7916
1688736945000,6900
1674850055000,7956
1700442413000,13757
1686952321000,7719
1696497051000,14291
1704013900000,13965
1684024136000,14908
1686920941000,6672
1681698313000,4549
1700371804000,3400
1681276386000,11910
1688901837000,4698
1673516801000,13520
1697952840000,4432
1685013894000,2110
1701826547000,1647
1695884047000,10038
1679185402000,13229
1693894110000,12508
1686961020000,3513
1689400677000,2469
1672886839000,14878
1689042837000,1430
1703766526000,6796
1677114121000,14014
1686256087000,2522
1685477769000,10345
1692529039000,13030
1692602685000,2492
1693789997000,3835
1684969220000,11927
1689689306000,8555
